name,position,team,adp
Christian McCaffrey,RB,SF,1.0
Puka Nacua,WR,LA,2.0
Bijan Robinson,RB,ATL,3.0
Jahmyr Gibbs,RB,DET,4.0
Josh Allen,QB,BUF,5.0
Jonathan Taylor,RB,IND,6.0
Jaxon Smith-Njigba,WR,SEA,7.0
Matthew Stafford,QB,LA,8.0
Drake Maye,QB,NE,9.0
Trevor Lawrence,QB,JAX,10.0
Amon-Ra St. Brown,WR,DET,11.0
De'Von Achane,RB,MIA,12.0
Caleb Williams,QB,CHI,13.0
Trey McBride,TE,ARI,14.0
Ja'Marr Chase,WR,CIN,15.0
Dak Prescott,QB,DAL,16.0
James Cook,RB,BUF,17.0
Jalen Hurts,QB,PHI,18.0
Jared Goff,QB,DET,19.0
Bo Nix,QB,DEN,20.0
George Pickens,WR,DAL,21.0
Justin Herbert,QB,LAC,22.0
Patrick Mahomes,QB,KC,23.0
Chase Brown,RB,CIN,24.0
Derrick Henry,RB,BAL,25.0
Chris Olave,WR,NO,26.0
Baker Mayfield,QB,TB,27.0
Kyren Williams,RB,LA,28.0
Travis Etienne,RB,JAX,29.0
Ashton Jeanty,RB,LV,30.0
Zay Flowers,WR,BAL,31.0
Javonte Williams,RB,DAL,32.0
Jaxson Dart,QB,NYG,33.0
Josh Jacobs,RB,GB,34.0
Saquon Barkley,RB,PHI,35.0
Sam Darnold,QB,SEA,36.0
Jordan Love,QB,GB,37.0
D'Andre Swift,RB,CHI,38.0
Nico Collins,WR,HOU,39.0
Jacoby Brissett,QB,ARI,40.0
Aaron Rodgers,QB,PIT,41.0
Daniel Jones,QB,IND,42.0
Davante Adams,WR,LA,43.0
Kenneth Gainwell,RB,PIT,44.0
Michael Wilson,WR,ARI,45.0
A.J. Brown,WR,PHI,46.0
Courtland Sutton,WR,DEN,47.0
Jameson Williams,WR,DET,48.0
Wan'Dale Robinson,WR,NYG,49.0
Jaylen Warren,RB,PIT,50.0
Rico Dowdle,RB,CAR,51.0
Bryce Young,QB,CAR,52.0
Lamar Jackson,QB,BAL,53.0
Tee Higgins,WR,CIN,54.0
Tetairoa McMillan,WR,CAR,55.0
Kyle Pitts,TE,ATL,56.0
Stefon Diggs,WR,NE,57.0
C.J. Stroud,QB,HOU,58.0
Breece Hall,RB,NYJ,59.0
RJ Harvey,RB,DEN,60.0
TreVeyon Henderson,RB,NE,61.0
Michael Pittman,WR,IND,62.0
Drake London,WR,ATL,63.0
DeVonta Smith,WR,PHI,64.0
Justin Jefferson,WR,MIN,65.0
CeeDee Lamb,WR,DAL,66.0
Emeka Egbuka,WR,TB,67.0
Jaylen Waddle,WR,MIA,68.0
Travis Kelce,TE,KC,69.0
Kenneth Walker III,RB,SEA,70.0
Tyler Warren,TE,IND,71.0
Deebo Samuel Sr.,WR,WAS,72.0
Jake Ferguson,TE,DAL,73.0
DK Metcalf,WR,PIT,74.0
Cam Ward,QB,TEN,75.0
Harold Fannin Jr.,TE,CLE,76.0
Tony Pollard,RB,TEN,77.0
Dallas Goedert,TE,PHI,78.0
Alec Pierce,WR,IND,79.0
Keenan Allen,WR,LAC,80.0
Zach Charbonnet,RB,SEA,81.0
Ladd McConkey,WR,LAC,82.0
Juwan Johnson,TE,NO,83.0
Rhamondre Stevenson,RB,NE,84.0
Hunter Henry,TE,NE,85.0
Dalton Schultz,TE,HOU,86.0
Troy Franklin,WR,DEN,87.0
Brock Bowers,TE,LV,88.0
Brock Purdy,QB,SF,89.0
Jauan Jennings,WR,SF,90.0
Parker Washington,WR,JAX,91.0
Geno Smith,QB,LV,92.0
Quentin Johnston,WR,LAC,93.0
Quinshon Judkins,RB,CLE,94.0
DJ Moore,WR,CHI,95.0
David Montgomery,RB,DET,96.0
Romeo Doubs,WR,GB,97.0
Colston Loveland,TE,CHI,98.0
Khalil Shakir,WR,BUF,99.0
Tre Tucker,WR,LV,100.0
George Kittle,TE,SF,101.0
Tyrone Tracy Jr.,RB,NYG,102.0
Tua Tagovailoa,QB,MIA,103.0
Tyler Shough,QB,NO,104.0
Rashee Rice,WR,KC,105.0
AJ Barner,TE,SEA,106.0
Kyle Monangai,RB,CHI,107.0
Rome Odunze,WR,CHI,108.0
Kareem Hunt,RB,KC,109.0
Woody Marks,RB,HOU,110.0
Rachaad White,RB,TB,111.0
Jacory Croskey-Merritt,RB,WAS,112.0
Brian Thomas Jr.,WR,JAX,113.0
Bucky Irving,RB,TB,114.0
Marquise Brown,WR,KC,115.0
Justin Fields,QB,NYJ,116.0
Josh Downs,WR,IND,117.0
Omarion Hampton,RB,LAC,118.0
Jordan Addison,WR,MIN,119.0
Joe Burrow,QB,CIN,120.0
